	('chr10', '6081532')	('chr2', '24469940')	('chr6', '32636595')	('chr10', '6348488')	('chr16', '11086016')	('chr15', '78943104')	('chr12', '56088396')	('chr22', '37195278')	('chr6', '90248512')	('chr16', '11270222')	('chr2', '203874196')	('chr1', '113761186')	('chr18', '12779948')	('chr12', '112049014')
E088	0	0	0	2	0	0	0	0	2	0	2	0	0	0
E083	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E082	2	0	1	1	0	0	0	0	0	0	0	0	0	0
E081	2	0	1	0	0	0	0	0	0	0	0	0	0	0
E080	0	0	1	0	0	2	0	0	0	0	0	0	0	0
E087	2	1	0	0	0	0	0	0	0	0	0	0	0	0
E086	2	0	1	1	0	0	0	0	0	0	0	0	0	0
E085	1	2	1	1	0	0	0	0	0	0	2	0	0	0
E084	0	0	1	1	0	0	0	0	0	0	0	0	0	0
E038	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E039	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E036	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E037	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E034	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E035	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E032	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E033	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E030	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E031	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E029	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E028	0	1	0	0	0	0	0	0	0	0	1	0	0	0
E021	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E023	0	0	0	2	0	0	0	0	0	0	0	0	0	0
E022	0	0	0	0	0	0	0	1	0	0	0	0	1	0
E025	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E027	1	0	1	0	0	0	0	0	0	0	0	0	0	0
E026	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E108	0	0	1	0	0	2	0	0	2	0	0	0	0	0
E109	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E102	0	2	1	0	0	0	0	0	0	0	2	0	0	0
E103	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E100	1	0	1	2	0	2	0	0	2	0	0	0	0	0
E101	0	1	1	0	0	0	0	0	0	0	1	1	0	0
E106	0	1	1	0	0	0	0	0	0	0	1	0	0	0
E107	0	0	1	0	0	2	0	0	2	0	0	0	0	0
E104	2	0	1	2	0	1	0	0	0	0	0	0	0	0
E105	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E115	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E116	0	0	2	0	0	0	0	0	0	0	0	0	0	0
E111	0	0	1	0	0	0	0	0	2	0	0	0	0	0
E110	0	2	1	1	0	0	0	0	2	0	2	0	0	0
E113	0	0	1	0	0	0	0	1	2	0	0	1	0	0
E112	0	2	0	0	0	0	0	0	0	0	1	0	0	0
E119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E118	1	0	1	0	0	0	0	0	2	0	0	0	0	0
E058	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E059	2	0	1	2	0	0	0	1	0	0	0	0	0	0
E054	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E055	0	0	1	0	0	0	0	0	1	0	0	0	0	0
E056	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E057	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E050	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E051	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E052	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E053	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E049	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E048	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E047	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E046	0	2	1	0	0	0	0	0	0	0	1	0	0	0
E045	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E044	0	1	1	0	0	0	0	0	0	0	0	0	0	0
E043	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E042	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E041	0	2	1	0	0	0	0	0	0	0	0	0	0	0
E040	0	2	0	0	0	0	0	0	0	0	0	0	0	0
E078	1	0	1	2	0	0	0	0	0	0	0	0	0	0
E079	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E072	0	0	1	0	0	0	0	0	0	0	0	0	0	0
E073	1	0	1	2	0	0	0	0	0	0	0	0	0	0
E070	1	0	1	1	0	0	0	0	0	0	0	0	0	0
E071	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E076	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E077	0	2	1	0	0	0	0	0	2	0	2	0	0	0
E074	2	0	1	2	0	0	0	0	0	0	0	0	0	0
E075	0	0	1	0	0	0	0	0	0	0	0	0	0	0
